iso3c,year,country,region,gdppc,tax_gdp,pop,GE,PV,RQ,oda_bio_total,oda_bio_weighted_pc
MEX,2023,Mexico,Latin America and Caribbean,13860.9597809326,14.1935866614195,129739759,-0.198361441493034,-0.630761027336121,-0.171988308429718,132597987.2,1.0220304725554485
MEX,2024,Mexico,Latin America and Caribbean,14185.7812248529,NA,130861007,NA,NA,NA,NA,NA
MNG,2010,Mongolia,Asia and the Pacific,NA,NA,NA,-0.561575889587402,0.597042262554169,-0.258041173219681,5079678.4,NA
MNG,2011,Mongolia,Asia and the Pacific,NA,NA,NA,-0.575659573078156,0.606538891792297,-0.238061502575874,3744826.2,NA
MNG,2012,Mongolia,Asia and the Pacific,4328.89001905655,15.3121421817773,2839705,-0.626131415367126,0.471134811639786,-0.216407060623169,6388873,2.249836866857649
MNG,2013,Mongolia,Asia and the Pacific,4340.14310544449,15.7312080369785,2899011,-0.539035797119141,0.491320788860321,-0.332616418600082,24173285.800000004,8.338459495324441
MNG,2014,Mongolia,Asia and the Pacific,4126.23975800524,12.9016342426866,2963113,-0.426087707281113,0.791901171207428,-0.277615696191788,2882543.4,0.9728091368773314
MNG,2015,Mongolia,Asia and the Pacific,3838.92126989984,11.8941379214967,3026864,-0.448192268610001,0.711831986904144,-0.368251025676727,9903384.2,3.271829920339995
MNG,2016,Mongolia,Asia and the Pacific,3619.90026383792,11.3509934508755,3088856,-0.0960112661123276,0.787600100040436,-0.0993876680731773,4990255.800000001,1.615567640576317
MNG,2017,Mongolia,Asia and the Pacific,3645.96708669551,13.5469084479633,3148917,-0.278352558612823,0.783372223377228,-0.128521844744682,5264993.399999999,1.6720013261702356
MNG,2018,Mongolia,Asia and the Pacific,4107.64288528468,16.6885283131364,3208189,-0.246418356895447,0.83126026391983,0.00820671487599611,27051945.800000004,8.432154651736543
MNG,2019,Mongolia,Asia and the Pacific,4347.54610314873,16.8505209175799,3267673,-0.234439387917519,0.636750936508179,-0.00252702389843762,19928857.2,6.098791770167945
MNG,2020,Mongolia,Asia and the Pacific,4001.25193077703,14.1457872338315,3327204,-0.419692069292068,0.717836558818817,-0.10893253237009,4395974.600000001,1.3212218427244018
MNG,2021,Mongolia,Asia and the Pacific,4517.61578018785,16.908849519801,3383741,-0.515481352806091,0.705918788909912,-0.253772854804993,6439738.800000001,1.9031417593722453
MNG,2022,Mongolia,Asia and the Pacific,4993.51487463495,15.7742886705877,3433748,-0.424924910068512,0.529954373836517,-0.27089050412178,7942834.399999999,2.313167535882074
MNG,2023,Mongolia,Asia and the Pacific,5838.63108083902,14.2955117783966,3481145,-0.47153577208519,0.592669785022736,-0.175534680485725,19193632.8,5.51359762377034
MNG,2024,Mongolia,Asia and the Pacific,6750.6301157724,16.854871862883,3524788,NA,NA,NA,NA,NA
MOZ,2010,Mozambique,Africa,NA,NA,NA,-0.616408288478851,0.394421875476837,-0.453413218259811,42667572.2,NA
MOZ,2011,Mozambique,Africa,NA,NA,NA,-0.650063931941986,0.332048267126083,-0.473082095384598,27669413,NA
MOZ,2012,Mozambique,Africa,685.685748199513,18.6287778325246,24337846,-0.653231084346771,0.39049369096756,-0.465775460004807,36220286.800000004,1.4882289418710268
MOZ,2013,Mozambique,Africa,686.505672517351,21.5406521425782,25051611,-0.635945856571198,-0.226966470479965,-0.417519450187683,44959904.400000006,1.7946911438150626
MOZ,2014,Mozambique,Africa,697.142680444123,23.9653838768408,25788475,-0.744966745376587,-0.336002737283707,-0.435868889093399,46621122.800000004,1.8078278300675013
MOZ,2015,Mozambique,Africa,610.563774706589,20.0064845206447,26547572,-0.828703820705414,-0.516435563564301,-0.56189900636673,67418360.4,2.539530183777259
MOZ,2016,Mozambique,Africa,441.489734819071,20.0767622116195,27337105,-0.946212470531464,-1.09681463241577,-0.74905401468277,62187580,2.274841465473392
MOZ,2017,Mozambique,Africa,470.93856305196,22.1120849461182,28166393,-0.95696634054184,-0.918098509311676,-0.770824313163757,58860121.599999994,2.089728762926797
MOZ,2018,Mozambique,Africa,517.507260258101,21.1926368441561,29018644,-0.960869610309601,-0.833229660987854,-0.796630501747131,38084314,1.3124084640205793
